"url","title","snippet"
"https://www.dailywire.com/news/media-denies-that-kamala-harris-was-bidens-border-czar-amid-unprecedented-illegal-immigration","Media Denies That Kamala Harris Was Biden's Border Czar Amid ...","Jul 24, 2024 ... Members of the media are trying to create distance between Vice President and presumptive Democrat nominee Kamala Harris and the unprecedented illegal ..."
"https://www.dailywire.com/news/as-a-prosecutor-kamala-harris-refused-to-seek-the-death-penalty-for-a-gang-member-who-murdered-a-cop","As A Prosecutor, Kamala Harris Refused To Seek The Death ...","Aug 2, 2024 ... When Kamala Harris was running to be San Francisco's district attorney, she said she would never pursue the death penalty. But then a case came before her that ..."
"https://www.dailywire.com/news/i-worked-at-planned-parenthood-for-17-years-heres-why-i-am-saying-no-to-kamala","I Worked At Planned Parenthood For 17 Years. Here's Why I Am ...","Aug 28, 2024 ... Today, as Vice President Kamala Harris seeks to win the White House, I hope my story serves as a warning that Harris' laundry list of incompetency and injustice ..."
"https://www.dailywire.com/news/the-kamala-harris-stock-market-crash","The Kamala Harris Stock Market Crash","Aug 5, 2024 ... There will come a point when Kamala Harris has to answer a serious question. Democrats are hoping that doesn't happen until after the election."
"https://www.dailywire.com/news/flashback-kamala-harris-campaign-against-truancy-got-the-mother-of-a-child-with-sickle-cell-anemia-arrested-for-school-absences","FLASHBACK: Kamala Harris' Campaign Against Truancy Got The ...","Jul 24, 2024 ... Vice President Kamala Harris' policies as a California prosecutor once resulted in the arrest and public perp walk of a mother whose child suffered from sickle ..."
"https://www.dailywire.com/show/scamala-kamala-harris-unmasked","Scamala","Aug 13, 2024 ... Meet Kamala Harris, the incompetent and unqualified vice president. Ben Shapiro's 3-part series exposes her façade, from her early California politics to the ..."
"https://www.dailywire.com/news/kamala-a-to-z-from-marxist-influences-to-willie-brown-to-radical-policy","Kamala A To Z: From Marxist Influences, To Willie Brown, To Radical ...","Jul 29, 2024 ... Democrats then swiftly crowned VP Kamala Harris as the nominee, though she did not receive a single vote. So who is Kamala Harris? Background Harris was born in"
"https://www.dailywire.com/news/cpac-scores-show-how-far-left-harris-vp-contenders-are","Kamala Harris Had A Shortlist of Far-Left VP Candidates. She ...","Aug 5, 2024 ... After Kamala Harris became the presumptive Democratic nominee for president, a left-leaning group that ranks senators by ideology memory-holed its finding ..."
"https://www.dailywire.com/news/before-kamala-harris-copied-trumps-pledge-to-scrap-the-tip-tax-biden-harris-admin-moved-to-enforce-tip-taxation","Before Kamala Stole Trump's 'No Tax On Tips' Proposal, She ...","Aug 11, 2024 ... The Biden administration announced a new program to “improve tip reporting compliance” to the IRS more than a year before Vice President Kamala Harris' ..."
"https://www.dailywire.com/news/obama-does-not-endorse-kamala-harris-for-president-we-will-be-navigating-uncharted-waters","Obama Does NOT Endorse Kamala Harris For President: 'We Will ...","Jul 21, 2024 ... Former President Barack Obama did not endorse Vice President Kamala Harris on Sunday to be the Democrat Party's presidential nominee after President Joe ..."
"https://www.dailywire.com/news/kamala-harris-tells-young-football-players-you-can-be-undefeated-even-if-you-dont-win-every-game","Kamala Harris Tells Young Football Players: You Can Be ...","Aug 18, 2024 ... Democrat presidential nominee Kamala Harris told a group of young football players on Sunday that they can be “undefeated” even if they don't win every game ..."
"https://www.dailywire.com/news/dont-buy-the-hype-kamala-has-big-problems","Don't Buy The Hype: Kamala Has BIG Problems","Aug 15, 2024 ... In the polling today, in the 2024 presidential race between Kamala Harris and Donald Trump, Harris now has the advantage in most of the polls."
"https://www.dailywire.com/news/kamala-agrees-to-interview-with-biased-cnn-anchor-will-bring-tim-walz-with-her","Kamala Agrees To Interview With Biased CNN Anchor, Will Bring ...","Aug 27, 2024 ... Vice President Kamala Harris will finally sit down for an interview later this week, nearly 40 days after she became the Democrats' de facto nominee, ..."
"https://www.dailywire.com/news/commie-la-harris-soviet-style-joy","Commie-la Harris' Soviet-Style JOY!","Aug 16, 2024 ... There's a problem for Kamala Harris: Most people don't actually like her economic policies. Recent polls showed 52% of Americans do not think America should ..."
"https://www.dailywire.com/news/kamalas-nausea-inducing-campaign-of-joy","Kamala's Nausea-Inducing Campaign Of 'Joy'","Aug 7, 2024 ... There's an attempt to make Kamala Harris a wildly attractive and joyous candidate. We've had a few key words from the Kamala Harris campaign, ..."
"https://www.dailywire.com/news/kamalas-car-wreck-first-interview","Kamala's Car Wreck First Interview","Aug 30, 2024 ... It finally happened: After weeks of stalling, Kamala Harris did a sit-down interview in which she spoke. For a whopping 16 minutes. Dana Bash, the ..."
