"","url","title","snippet","date"
"1","https://www.dailywire.com/news/the-kamala-harris-stock-market-crash","The Kamala Harris Stock Market Crash","Aug 5, 2024 ... There will come a point when Kamala Harris has to answer a serious question. Democrats are hoping that doesn't happen until after the election.",2024-08-05
"2","https://www.dailywire.com/news/as-a-prosecutor-kamala-harris-refused-to-seek-the-death-penalty-for-a-gang-member-who-murdered-a-cop","As A Prosecutor, Kamala Harris Refused To Seek The Death ...","Aug 2, 2024 ... When Kamala Harris was running to be San Francisco's district attorney, she said she would never pursue the death penalty. But then a case came before her that ...",2024-08-02
"3","https://www.dailywire.com/news/kamala-harris-made-a-damning-planned-parenthood-video-disappear-now-its-public","Kamala Harris Made A Damning Planned Parenthood Video ...","Aug 1, 2024 ... ... Kamala Harris seized the footage as Attorney General of California. The five-minute video shows a conversation between a person identified as Dr. Stacy De ...",2024-08-01
"4","https://www.dailywire.com/news/kamalas-nausea-inducing-campaign-of-joy","Kamala's Nausea-Inducing Campaign Of 'Joy'","Aug 7, 2024 ... There's an attempt to make Kamala Harris a wildly attractive and joyous candidate. We've had a few key words from the Kamala Harris campaign, ...",2024-08-07
"5","https://www.dailywire.com/news/kamala-harris-secret-service-covers-up-security-cameras-at-private-business-breaks-into-building-report","Kamala Harris' Secret Service Covers Up Security Cameras At ...","Aug 10, 2024 ... Vice President Kamala Harris' Secret Service detail was caught on video committing crimes against a local business owner during a Harris campaign event late ...",2024-08-10
"6","https://www.dailywire.com/news/byron-donalds-blasts-abc-news-george-stephanopoulos-for-his-meltdown-on-live-tv","Byron Donalds Blasts ABC News' George Stephanopoulos For His ...","Aug 4, 2024 ... ... Donalds for responding to his questions about former President Donald Trump's remarks on Vice President Kamala Harris' race. Donalds made the remarks during ...",2024-08-04
"7","https://www.dailywire.com/news/tim-walz-signed-bill-stripping-anti-pedophile-language-from-minnesotas-human-rights-act","Tim Walz Signed Bill Stripping Anti-Pedophile Language From ...","Aug 7, 2024 ... UNITED STATES - AUGUST 6: Vice President Kamala Harris, Democratic nominee for president, Tom Williams/CQ-Roll Call, Inc via Getty Images. Minnesota Governor ...",2024-08-07
"8","https://www.dailywire.com/news/did-tim-walz-really-put-tampons-in-the-boys-bathroom","Did Tim Walz Really Put Tampons In The Boys Bathroom?","Aug 9, 2024 ... Minnesota Governor Tim Walz (D) has taken a lot of heat in the days since he was tapped as Vice President Kamala Harris' running mate for signing a law ...",2024-08-09
"9","https://www.dailywire.com/news/walz-embellished-and-selectively-omitted-facts-about-his-military-career-retired-national-guardsmen","Walz 'Embellished And Selectively Omitted Facts' About His Military ...","Aug 6, 2024 ... Vice President Kamala Harris picked Minnesota Governor Tim Walz as her running mate on Tuesday, and will likely emphasize his military service as part of ...",2024-08-06
"10","https://www.dailywire.com/news/serious-loophole-allowing-democrats-actblue-to-potentially-accept-illegal-political-contributions-congress","'Serious Loophole' Allowing Democrats' ActBlue To Potentially ...","Aug 6, 2024 ... US Vice President and 2024 Democratic presidential candidate Kamala Harris smiles as she takes the podium ELIJAH NOUVELAGE/AFP via Getty Images. House ...",2024-08-06
"11","https://www.dailywire.com/news/no-one-denigrated-tim-walzs-military-service-more-than-he-did-himself","No One Denigrated Tim Walz's Military Service More Than He Did ...","Aug 8, 2024 ... Governor Tim Walz's (D-MN) military career has been the subject of much scrutiny over the past few days, ever since Vice President Kamala Harris tapped him ...",2024-08-08
"12","https://www.dailywire.com/news/trans-six-year-olds-custody-battles-and-tampons-for-boys-tim-walzs-record-on-kids-and-gender-ideology","'Trans' Six-Year-Olds, Custody Battles, And Tampons For Boys: Tim ...","Aug 6, 2024 ... ... Vice President Kamala Harris tapped the Minnesota governor as her running mate Tuesday, prompting scrutiny of his progressive record on everything ...",2024-08-06
"13","https://www.dailywire.com/news/harris-picks-walz-for-vp-i-am-delighted-the-mask-is-off","Harris Picks Walz For VP. I Am Delighted — The Mask Is Off.","Aug 6, 2024 ... Kamala Harris's pick as her vice-presidential candidate is Minnesota Governor Tim Walz. I am delighted. There are many reasons I am pleased about this, ...",2024-08-06
"14","https://www.dailywire.com/news/as-somali-gangs-waged-war-and-trafficked-children-in-minnesota-tim-walz-asked-for-more-somali-refugees","As Somali Gangs Waged War and Trafficked Children In Minnesota ...","Aug 7, 2024 ... Walz, whom Vice President Kamala Harris tapped as her running mate this week, petitioned the Trump administration to send more refugees to Minnesota in 2019,",2024-08-07
