"","url","title","snippet","date"
"1","https://www.breitbart.com/faith/2024/10/07/trump-visits-the-ohel-holy-jewish-site-in-queens-on-october-7/","Trump Visits the Ohel, Holy Jewish Site in Queens, on October 7","Oct 7, 2024 ... Former President Donald Trump visited the Ohel — the Queens, New York, burial site of the Lubavitcher Rebbe and his predecessor — on Monday afternoon ...",2024-10-07
"2","https://www.breitbart.com/politics/2024/10/02/exclusive-thomas-massie-warns-doj-against-interfering-with-igs-january-6-report/","Thomas Massie Warns DOJ Against Interfering with IG's January 6 ...","Oct 2, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Get All Breitbart News Here. Exclusive – Thomas Massie Warns DOJ Against Interfering with IG's ...",2024-10-02
"3","https://www.breitbart.com/2024-election/2024/10/06/watch-kamala-harris-melts-down-after-teleprompter-malfunctions-at-rally/","WATCH: Kamala Harris Melts Down After Teleprompter Malfunctions ...","Oct 6, 2024 ... “She had absolutely no idea what to do or say,” former President Donald Trump's War Room said on X. “Humiliating.” Political strategist Greg Price said the ...",2024-10-06
"4","https://www.breitbart.com/entertainment/2024/10/10/watch-donald-trump-confirms-funny-story-how-he-shut-down-don-jr-s-big-party-roof-trump-tower/","Watch: Donald Trump Confirms 'Funny Story' About How He Shut ...","Oct 10, 2024 ... Former President Donald Trump confirmed a ""funny story"" to podcast host Andrew Schulz about a time he shut down Donald Trump Jr.'s big party after his son ...",2024-10-10
"5","https://www.breitbart.com/politics/2024/10/02/report-doug-emhoff-paid-80k-hush-money-was-never-prosecuted/","Report: Doug Emhoff Paid $80k 'Hush Money'; Was Never Prosecuted","Oct 2, 2024 ... He is a winner of the 2018 Robert Novak Journalism Alumni Fellowship. Follow him on Twitter at @joelpollak. 2024 Election · Crime · Politics · Donald Trump ...",2024-10-02
"6","https://www.breitbart.com/2024-election/2024/10/09/poll-two-thirds-of-americans-support-deportations-for-illegal-migrants/","Poll: Two-Thirds of Americans Support Deportations for Illegal ...","Oct 9, 2024 ... An Ipsos poll says 66 percent of Americans support the deportation of illegal migrants, which is a central promise of President Donald Trump's 2024 campaign.",2024-10-09
"7","https://www.breitbart.com/politics/2024/10/05/poll-voters-more-confident-trump-will-win-over-harris-in-november/","Poll: Voters More Confident Trump Will Win over Harris in November","Oct 5, 2024 ... Likely voters are slightly more confident that former President Donald Trump will emerge as the victor over Vice President Kamala Harris.",2024-10-05
"8","https://www.breitbart.com/politics/2024/10/04/trump-israel-should-destroy-irans-nuclear-weapons-program/","Trump: Israel Should Destroy Iran's Nuclear Weapons Program","Oct 4, 2024 ... Former President Donald Trump said Friday in Fayetteville, North Carolina, that Israel should destroy Iran's nuclear weapons program in response to the ...",2024-10-04
"9","https://www.breitbart.com/tag/media/","media Articles - Breitbart","Oct 4, 2024 ... Donald Trump's DHS Terminates Biden's 'Temporary' Amnesty for Afghan Migran Donald Trump's DHS Terminates Biden's 'Temporary' Amnesty for Afghan Migrants ...",2024-10-04
"10","https://www.breitbart.com/entertainment/2024/10/04/amazon-pulls-kim-porter-memoir-about-sean-diddy-combs-her-children-say-is-fake/","Amazon Pulls Kim Porter Memoir About Sean 'Diddy' Combs Her ...","Oct 4, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Get All Breitbart News Here. Amazon Pulls Kim Porter Memoir About Sean 'Diddy' Combs Her ...",2024-10-04
"11","https://www.breitbart.com/education/2024/10/01/newsom-signs-bill-prohibiting-legacy-donor-preference-in-college-admissions/","Newsom Signs Bill Prohibiting Legacy, Donor Preference in College ...","Oct 1, 2024 ... He is also the author of The Trumpian Virtues: The Lessons and Legacy of Donald Trump's Presidency, now available on Audible. He is a winner of the 2018 ...",2024-10-01
"12","https://www.breitbart.com/politics/2024/10/03/trump-michigan-win-america-will-enter-golden-age-kamala-wins-enters-dark-age/","Trump in Michigan: If I Win America Will Enter 'Golden Age,' if ...","Oct 3, 2024 ... Former President Donald Trump is expected to say that America will enter a ""Golden Age"" if citizens vote for him in November.",2024-10-03
