Unnamed: 0,url,title,snippet,date
1,https://www.breitbart.com/entertainment/2024/08/09/fact-check-author-stephen-king-spreads-lie-claiming-trump-didnt-want-to-be-photographed-with-amputee-veterans/,Fact Check: Author Stephen King Spreads Lie Claiming Trump Didn ...,"Aug 9, 2024 ... Stephen King has spread an easily disprovable lie claiming that then-President Donald Trump didn't want to be photographed with amputee veterans.",2024-08-09
2,https://www.breitbart.com/politics/2024/08/10/exclusive-jason-trennert-warns-of-second-wave-of-inflation-unless-donald-trump-is-reelected/,Exclusive: Jason Trennert Warns of 'Second Wave of Inflation ...,"Aug 10, 2024 ... Jason Trennert, the CEO of Strategas Research Partners, warned of a ""second wave of inflation"" in 2025 unless Donald Trump is reelected.",2024-08-10
3,https://www.breitbart.com/tech/2024/08/08/creepy-bill-gates-envisions-a-3-day-work-week-powered-by-ai/,Creepy Bill Gates Envisions a 3-Day Work Week Powered by AI,"Aug 8, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Get All Breitbart News Here. Creepy Bill Gates Envisions a 3-Day Work Week Powered by AI. 1,959 ...",2024-08-08
4,https://www.breitbart.com/politics/2024/08/07/jack-black-vows-to-bring-tenacious-d-back-following-bandmate-wishing-for-trumps-assassination/,Jack Black Vows to Bring Tenacious D Back Following Bandmate ...,"Aug 7, 2024 ... ... Tenacious D back after his bandmate Kyle Gass wished for the assassination of former President Donald Trump last month.",2024-08-07
5,https://www.breitbart.com/national-security/2024/08/09/ukrainian-state-media-cheerlead-for-tim-walz-stolen-valor-accusations/,Ukrainian State Media Cheerlead for Tim Walz amid Stolen Valor ...,"Aug 9, 2024 ... Harris' opponent, former President Donald Trump, has been skeptical of heavy funding for the Ukraine war. Trump has also expressed confidence he can end the ...",2024-08-09
6,https://www.breitbart.com/border/2024/08/06/biden-harris-expand-cbp-one-app-makes-it-easier-for-migrants-to-enter-u-s/,Biden-Harris Admin Expands CBP One App -- Easier for Migrants to ...,"Aug 6, 2024 ... Watch Live ... FROM THE HOMEPAGE.",2024-08-06
7,https://www.breitbart.com/clips/2024/08/06/minneapolis-mayor-on-criticism-of-walzs-handling-of-riots-hindsight-is-20-20/,Minneapolis Mayor on Criticism of Walz's Handling of Riots ...,"Aug 6, 2024 ... Tim Walz (D) for his handling of riots in 2020 by stating that 2024 Republican presidential candidate former President Donald Trump wasn't helpful back then ...",2024-08-06
8,https://www.breitbart.com/politics/2024/08/01/michael-rapaport-admits-i-was-wrong-about-trump/,Michael Rapaport Admits: 'I Was Wrong' About Trump,"Aug 1, 2024 ... Actor and comedian Michael Rapaport admitted Wednesday that he had been wrong about President Donald Trump.",2024-08-01
9,https://www.breitbart.com/politics/2024/08/09/russia-declares-emergency-region-invaded-ukraine-zelensky-says-russia-needs-feel-war/,Russia Declares Emergency in Region Invaded by Ukraine as ...,"Aug 9, 2024 ... Ukraine began executing the Kursk attack shortly after Zelensky spoke to former U.S. President Donald Trump in late July, their first conversation in the ...",2024-08-09
10,https://www.breitbart.com/politics/2024/08/08/report-u-s-warns-iran-against-significant-attack-on-israel-smaller-attack-ok/,Report: U.S. Warns Iran Against 'Significant' Attack on Israel; Smaller ...,"Aug 8, 2024 ... He is also the author of “The Trumpian Virtues: The Lessons and Legacy of Donald Trump's Presidency,” now available on Audible. He is a winner of the 2018 ...",2024-08-08
11,https://www.breitbart.com/politics/2024/08/01/rapper-waka-flocka-flame-trump-still-my-president/,Rapper Waka Flocka Flame: 'Trump Still My President',"Aug 1, 2024 ... The rapper known as Waka Flocka Flame is doubling down on his support for former President Donald Trump's bid to reclaim the White House in November.",2024-08-01
12,https://www.breitbart.com/2024-election/2024/08/06/past-dui-arrest-continues-to-hound-tim-walz-after-conflicting-claims/,Past DUI Arrest Continues to Hound Tim Walz After Conflicting Claims,"Aug 6, 2024 ... He is also the author of “The Trumpian Virtues: The Lessons and Legacy of Donald Trump's Presidency,” now available on Audible. He is a winner of the 2018 ...",2024-08-06
13,https://www.breitbart.com/entertainment/2024/08/08/jack-blacks-latest-movie-borderlands-ripped-by-critics-definitely-in-contention-for-worst-movie-of-the-year/,Jack Black's Latest Movie 'Borderlands' Ripped by Critics: 'Definitely ...,"Aug 8, 2024 ... Jack Black's first movie since his Tenacious D bandmate publicly wished for the assassination of former President Donald Trump is receiving scathing reviews.",2024-08-08
14,https://www.breitbart.com/pre-viral/2024/08/08/virginia-gov-glenn-youngkin-mandates-paper-ballots-november-election/,Virginia Gov. Glenn Youngkin Mandates Paper Ballots for November ...,"Aug 8, 2024 ... Former President Donald Trump praised Youngkin's executive order in a Truth Social post on Wednesday, writing: The beautiful Commonwealth of Virginia ...",2024-08-08
15,https://www.breitbart.com/politics/2024/08/07/tim-walz-described-trumps-ban-on-transgender-troops-as-wrong/,Tim Walz Described Trump's Ban on Transgender Troops as 'Wrong',"Aug 7, 2024 ... Minnesota Gov. Tim Walz has criticized former President Donald Trump's ban on service members identifying as transgender as being ""wrong.""",2024-08-07
16,https://www.breitbart.com/politics/2024/08/06/exclusive-lara-trump-on-tim-walz-bernie-sanders-has-been-a-champion-of-his/,Exclusive — Lara Trump on Tim Walz: 'Bernie Sanders Has Been a ...,"Aug 6, 2024 ... “They'd like to win Minnesota, obviously, and it's a state that is very much in play for Donald Trump. You may have noticed we added Minnesota to our map in ...",2024-08-06
17,https://www.breitbart.com/entertainment/2024/08/06/rapoport-josh-shapiro-un-jewed-himself-publicly-and-still-didnt-get-picked/,Michael Rapaport: 'Josh Shapiro Un-Jewed Himself Publicly and ...,"Aug 6, 2024 ... Though an outspoken opponent of President Donald Trump, he recently admitted he may have been wrong about Trump, at least on the topic of Israel, and has said ...",2024-08-06
18,https://www.breitbart.com/europe/2024/08/01/olympic-drag-queen-has-no-regrets-says-paris-opening-ceremony-a-photograph-of-france-in-2024/,Olympic Drag Queen Has No Regrets: Says Paris Opening ...,"Aug 1, 2024 ... Drag queen Hugo Bardin rejected criticism of the Paris Olympics opening ceremony, adding the fact former U.S. President Donald Trump was offended meant ...",2024-08-01
19,https://www.breitbart.com/2024-election/2024/08/02/book-joe-biden-repeatedly-trashed-kamala-harris-as-inauthentic-in-2020/,BOOK: Joe Biden 'Repeatedly' Trashed Kamala Harris as ...,"Aug 2, 2024 ... Biden's reported beliefs contradict his statements that Harris is a viable candidate to defeat former President Donald Trump and is ready for the job of ...",2024-08-02
20,https://www.breitbart.com/politics/2024/08/03/kamala-harris-husband-doug-emhoff-reportedly-cheated-first-wife-nanny-got-her-pregnant/,"Kamala Harris's Husband, Doug Emhoff, Reportedly Cheated on ...","Aug 3, 2024 ... ... Donald Trump. FLASHBACK: Dr. Jill Biden and the Second Gentleman Kiss Through Masks. Politics · 2024 Presidential Election · affair · Doug Emhoff · Ella Emhoff ...",2024-08-03
21,https://www.breitbart.com/politics/2024/08/03/kamala-harris-husband-doug-emhoff-reportedly-cheated-first-wife-nanny-got-her-pregnant/,"Kamala Harris's Husband, Doug Emhoff, Reportedly Cheated on ...","Aug 3, 2024 ... ... Donald Trump. FLASHBACK: Dr. Jill Biden and the Second Gentleman Kiss Through Masks. Politics · 2024 Presidential Election · affair · Doug Emhoff · Ella Emhoff ...",2024-08-03
22,https://www.breitbart.com/sports/2024/08/05/paraguay-swimmer-luana-alonso-banished-from-olympic-village-for-inappropriate-behavior/,Paraguay Swimmer Luana Alonso Banished from Olympic Village ...,"Aug 5, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Alleged Venezuelan Hitman Arrested by ICE in Texas · Dan Bongino: FBI Releasing Files on COVID ...",2024-08-05
