Unnamed: 0,url,title,snippet,date
1,https://www.dailywire.com/news/supreme-court-sends-trump-case-back-lower-court-awards-former-president-restitution,"Supreme Court Sends Trump Case Back Lower Court, Awards ...","Aug 2, 2024 ... The Supreme Court on Friday returned a criminal case against former president Donald Trump to a lower court, and ordered the United States government to ...",2024-08-02
2,https://www.dailywire.com/news/byron-donalds-blasts-abc-news-george-stephanopoulos-for-his-meltdown-on-live-tv,Byron Donalds Blasts ABC News' George Stephanopoulos For His ...,"Aug 4, 2024 ... ... Donald Trump's remarks on Vice President Kamala Harris' race.Donalds made the remarks during a Sunday interview on “This Week” when asked about Trump's ...",2024-08-04
3,https://www.dailywire.com/topic/cbc,CBC,"Aug 1, 2024 ... U.S. President Donald Trump speaks to reporters in the Oval Office of the White House as ...",2024-08-01
4,https://www.dailywire.com/topic/voter-id,Voter ID,"Aug 8, 2024 ... Maine's Jared Golden Has A Shaky History Supporting Voter ID Laws. By Tim Pearce. WASHINGTON, DC - APRIL 14: U.S. President Donald Trump listens as Ohio ...",2024-08-08
5,https://www.dailywire.com/topic/election-fraud,Election Fraud,"Aug 8, 2024 ... WASHINGTON, DC - APRIL 14: U.S. President Donald Trump listens as Ohio State Head. Federal Judge Blocks Trump's Proof-Of-Citizenship Voting Requirement. By ...",2024-08-08
6,https://www.dailywire.com/news/the-kamala-harris-stock-market-crash,The Kamala Harris Stock Market Crash,"Aug 5, 2024 ... ... Donald Trump should be saying he wants to debate her every week from now until the election because no one else is going to ask her a tough question. She's ...",2024-08-05
7,https://www.dailywire.com/news/as-somali-gangs-waged-war-and-trafficked-children-in-minnesota-tim-walz-asked-for-more-somali-refugees,As Somali Gangs Waged War and Trafficked Children In Minnesota ...,"Aug 7, 2024 ... ... Donald Trump's move to allow states and localities to deny increased refugee resettlement in their communities. Walz, who had previously pushed for ...",2024-08-07
8,https://www.dailywire.com/news/my-soul-is-dead-american-teacher-speaks-from-russian-prison-after-exclusion-from-prisoner-swap,'My Soul Is Dead': American Teacher Speaks From Russian Prison ...,"Aug 6, 2024 ... ... Donald Trump, who told her he would do everything he could to free her son if elected in November.Malphine was scheduled to appear on stage with Trump at ...",2024-08-06
1,https://www.dailywire.com/news/wild-female-secret-service-agent-abandons-her-post-to-do-what,WILD: Female Secret Service Agent Abandons Her Post To Do What!?,"Aug 16, 2024 ... It's been more than a month since a 20-year-old nearly assassinated Donald Trump while he was speaking at a rally, live on national television.",2024-08-16
2,https://www.dailywire.com/news/abc-news-debate-moderator-linsey-davis-smears-trump-suggests-hes-connected-to-kkk,ABC News Debate Moderator Linsey Davis Smears Trump ...,"Aug 20, 2024 ... ... Donald Trump is expected to go campaign in Howell, Michigan, tomorrow,” Davis said. “Many people are aware that a month ago, in Howell, KKK protesters ...",2024-08-20
3,https://www.dailywire.com/news/trump-were-gonna-have-an-iron-dome-like-israel,Trump: 'We're Gonna Have An Iron Dome' Like Israel,"Aug 13, 2024 ... Republican presidential nominee Donald Trump said the United States should have its own Iron Dome system, similar to what Israel has, to defend against ...",2024-08-13
4,https://www.dailywire.com/topic/health-and-human-services,Health and Human Services,"Aug 15, 2024 ... Kennedy Jr., President-elect Donald Trump's nominee to be the. HHS Investing $500 Million To Develop Universal Vaccines. By Amanda Prestigiacomo. Gender ...",2024-08-15
5,https://www.dailywire.com/news/dont-buy-the-hype-kamala-has-big-problems,Don't Buy The Hype: Kamala Has BIG Problems,"Aug 15, 2024 ... In the polling today, in the 2024 presidential race between Kamala Harris and Donald Trump, Harris now has the advantage in most of the polls.",2024-08-15
6,https://www.dailywire.com/topic/turkey,Turkey,"Aug 17, 2024 ... By Tim Pearce. MEET THE PRESS -- Moderator Kristen Welker Interviews President-Elect Donald Trump --. Trump Announces Top Ambassador Appointments For 3 ...",2024-08-17
7,https://www.dailywire.com/news/documents-reveal-how-george-soros-controls-prosecutors,Documents Reveal How George Soros Controls Prosecutors,"Aug 12, 2024 ... ... Donald Trump for his role in the January 6 protests after the group said it wanted to hold Trump “accountable.” Since-ousted San Francisco District Attorney ...",2024-08-12
8,https://www.dailywire.com/news/kamala-harris-tells-young-football-players-you-can-be-undefeated-even-if-you-dont-win-every-game,Kamala Harris Tells Young Football Players: You Can Be ...,"Aug 18, 2024 ... ... Donald Trump, responded to the clip: “I wonder what these football players would think about tampons in boys' bathrooms.”Miller's comment referenced a bill ...",2024-08-18
9,https://www.dailywire.com/news/cacklin-kamalas-newest-rebrand-is-a-total-joke,Cacklin' Kamala's Newest Rebrand Is A Total Joke,"Aug 20, 2024 ... ... Donald Trump and MAGA's male rage. … Kamala Harris bets the election on women's joy. Donald Trump stakes his hopes on men's anger.” To illustrate the point ...",2024-08-20
10,https://www.dailywire.com/news/apple-makes-it-clear-white-men-need-not-apply,Apple Makes It Clear: White Men Need Not Apply,"Aug 15, 2024 ... ... Donald Trump wants to put a stop to anti-white racism: Deranged Joy Reid says Trump and Vance will “nationalize their long-term goal of putting a stop to ...",2024-08-15
1,https://www.dailywire.com/news/commerce-secretary-gina-raimondo-suggests-trump-made-up-numbers-that-bidens-labor-dept-released,Commerce Secretary Gina Raimondo Suggests Trump Made Up ...,"Aug 21, 2024 ... Commerce Secretary Gina Raimondo was called out during a live interview on Wednesday for falsely suggesting that Republican presidential nominee Donald Trump ...",2024-08-21
2,https://www.dailywire.com/news/conservatives-react-to-donald-trumps-post-promoting-reproductive-rights,Conservatives React To Donald Trump's Post Promoting ...,"Aug 24, 2024 ... Former President Donald Trump on Friday said on social media that a future Trump administration will be “great” for “reproductive rights,” setting off ...",2024-08-24
3,https://www.dailywire.com/news/leftists-attack-rfk-jr-s-wife-cheryl-hines-over-husbands-endorsement-of-trump,Leftists Attack RFK Jr.'s Wife Cheryl Hines Over Husband's ...,"Aug 23, 2024 ... husband suspended his presidential campaign and endorsed former President Donald Trump.Hines' statement on social media comes after RFK Jr. made the ...",2024-08-23
4,https://www.dailywire.com/news/senator-booker-its-time-to-finally-kill-maga-strain-of-gop,Senator Booker: It's Time To 'Finally Kill' MAGA 'Strain' Of GOP,"Aug 25, 2024 ... ... Donald Trump at a political rally in Pennsylvania.Booker made the remarks during a Sunday interview on CNN's “State of the Union” when asked by host Jake ...",2024-08-25
5,https://www.dailywire.com/news/kamala-finally-agrees-to-interview-pre-taped-with-a-babysitter,"Kamala Finally Agrees To Interview — Pre-Taped, With A Babysitter","Aug 28, 2024 ... ... Donald Trump by one point in a head-to-head matchup among registered voters. The margin of error is three points, which means this is a dead heat. Not only ...",2024-08-28
6,https://www.dailywire.com/news/fox-news-cut-trump-off-for-gutfeld-so-trump-called-gutfeld-live-on-air,"Fox News Cut Trump Off For Gutfeld!, So Trump Called Gutfeld Live ...","Aug 23, 2024 ... A conversation between Fox News anchors Bret Baier, Martha MacCallum, and former President Donald Trump was abruptly cut off on Thursday night as the ...",2024-08-23
7,https://www.dailywire.com/news/yes-kamalas-actual-strategy-is-bulls,"Yes, Kamala's Actual Strategy Is Bulls***","Aug 23, 2024 ... What Kamala is telling everyone is that the actual president of the United States right now is Donald Trump, and he must be ousted because he's the incumbent.",2024-08-23
8,https://www.dailywire.com/news/beyonce-didnt-perform-at-dnc-despite-report-tmz-admits-we-got-this-one-wrong,"Beyoncé Didn't Perform At DNC Despite Report, TMZ Admits 'We ...","Aug 23, 2024 ... ... Donald Trump's campaign advising him to stop using her song “Freedom” in his promotional material, as The Daily Wire previously reported. While plenty of ...",2024-08-23
9,https://www.dailywire.com/news/rfk-endorses-trump-kamalas-still-hiding,RFK Endorses Trump. Kamala's Still Hiding.,"Aug 26, 2024 ... ... Donald Trump. I'm speaking, of course, of Robert F. Kennedy Jr. Could RFK Jr. be the margin of victory for Trump by endorsing him? Absolutely. So what are ...",2024-08-26
10,https://www.dailywire.com/news/kamalas-car-wreck-first-interview,Kamala's Car Wreck First Interview,"Aug 30, 2024 ... ... Donald Trump was president.” Harris answered, “When we came in, our highest priority was to do what we could to rescue America. And today, we know that we ...",2024-08-30
11,https://www.dailywire.com/news/dnc-night-2-hypocrite-obamas-sell-out-jews-for-anti-semitism,DNC Night #2: Hypocrite Obamas + Sell-Out Jews For Anti-Semitism!,"Aug 21, 2024 ... That's part of what underlies their hatred for Donald Trump. They hate that Trump was a businessman for decades before he became president of the United ...",2024-08-21
1,https://www.dailywire.com/news/my-closing-statement-why-i-voted-trump,My Closing Statement: Why I Voted Trump,"Nov 4, 2024 ... So, it's down to the wire. According to the latest RealClearPolitics polling average, Donald Trump is up in national polling — by 0.1%.",2024-11-04
2,https://www.dailywire.com/news/trump-campaign-memo-describes-massive-turnout-deficit-for-dems-on-eve-of-election,Trump Campaign Memo Describes 'Massive Turnout Deficit' For ...,"Nov 4, 2024 ... Former President Donald Trump's campaign is circulating a memo describing a “massive turnout deficit” for Democrats on the eve of the 2024 election.",2024-11-04
3,https://www.dailywire.com/news/you-gave-me-a-panic-attack-voters-react-to-trump-leading-in-new-hampshire-poll-for-the-first-time,'You Gave Me A Panic Attack': Voters React To Trump Leading In ...,"Nov 3, 2024 ... New Hampshire voters said they were shocked by a new poll that shows former President Donald Trump has surpassed Vice President Kamala Harris in the state for ...",2024-11-03
4,https://www.dailywire.com/news/trump-projected-to-win-georgia,Trump Projected To Win Georgia,"Nov 5, 2024 ... Former President Donald Trump is projected to win the swing state of Georgia, securing the state's 16 Electoral College votes, according to a projection ...",2024-11-05
5,https://www.dailywire.com/news/man-badly-beats-trump-supporter-for-wearing-a-trump-2024-hat-police-say,Man Badly Beats Trump Supporter For 'Wearing A Trump 2024 Hat ...,"Nov 2, 2024 ... ... Donald Trump have been targeted and attacked for their political views.In June, for example, an 82-year-old man in Massachusetts was allegedly assaulted by ...",2024-11-02
6,https://www.dailywire.com/news/nate-silver-explains-why-he-is-skeptical-of-battleground-state-polling,Nate Silver Explains Why He Is Skeptical Of Battleground State Polling,"Nov 3, 2024 ... A statistically anomalous amount of October poll results show Vice President Kamala Harris and former President Donald Trump neck-and-neck in the swing ...",2024-11-03
7,https://www.dailywire.com/news/cautiously-optimistic-ben-shapiro-talks-to-megyn-kelly-about-early-election-results,'Cautiously Optimistic': Ben Shapiro Talks To Megyn Kelly About ...,"Nov 5, 2024 ... ... Donald Trump and Vice President Kamala Harris.“I've heard some indicators, some rumblings, from people inside some of the campaigns in Pennsylvania that she ...",2024-11-05
8,https://www.dailywire.com/news/former-intelligence-official-accosts-black-trump-supporter-in-dc-coffee-shop,Former Intelligence Official Accosts Black Trump Supporter In DC ...,"Nov 4, 2024 ... President Donald Trump.Annetta Catchings, a former Republican candidate for mayor in Alexandria, Virginia, posted video of Patti Morrissey interrupting her ...",2024-11-04
9,https://www.dailywire.com/news/these-celebrities-say-theyre-voting-for-trump,These Celebrities Say They're Voting For Trump,"Nov 4, 2024 ... ... Donald Trump or be conservative in any way. They know there's ramifications for this kind of s***,” he said.Levi added, “But ya'll, our industry is going to ...",2024-11-04
10,https://www.dailywire.com/news/my-case-against-kamala,My Case Against Kamala,"Nov 5, 2024 ... On Monday, I made a straightforward argument for why Donald Trump deserves to win this election. What I didn't do is explain in depth why Kamala Harris deserves ...",2024-11-05
11,https://www.dailywire.com/news/fcc-commissioner-kamalas-snl-appearance-a-blatant-effort-to-evade-equal-time-rule,FCC Commissioner: Kamala's SNL Appearance A 'Blatant Effort To ...,"Nov 3, 2024 ... ... Donald Trump, to receive the federally-mandated “equal time.”“This is a clear and blatant effort to evade the FCC's Equal Time rule. The purpose of the rule ...",2024-11-03
12,https://www.dailywire.com/news/here-are-the-things-kamala-has-supported-in-the-past-but-wont-say-if-she-supports-now,Here Are The Things Kamala Has Supported In The Past But Won't ...,"Nov 4, 2024 ... ... Donald Trump's campaign to tie her to President Joe Biden, whom Harris replaced as the Democratic nominee. Biden is increasingly unpopular, and Harris has ...",2024-11-04
13,https://www.dailywire.com/news/vote-to-keep-god-in-america-harrison-butker-drops-pro-trump-ad-on-election-day,'Vote To Keep God In America': Harrison Butker Drops Pro-Trump Ad ...,"Nov 5, 2024 ... ... Donald Trump as president, reminding viewers he “has stood up for religious freedom, the right to worship and the right to live our religious faith without ...",2024-11-05
14,https://www.dailywire.com/topic/jake-tapper,Jake Tapper,"Nov 2, 2024 ... ... NEW YORK, NEW YORK - NOVEMBER 16: President-elect Donald Trump looks on. Here Comes The Boom: Trump Exploding Status Quo. By Ben Shapiro.",2024-11-02
15,https://www.dailywire.com/news/president-biden-wont-attend-kamalas-election-night-watch-party,President Biden Won't Attend Kamala's Election Night Watch Party,"Nov 5, 2024 ... ... Donald Trump and Harris, the former Republican president insisted that Biden “hates” Harris, a line he would repeat at his rallies following the debate ...",2024-11-05
16,https://www.dailywire.com/news/trump-campaign-responds-to-fake-news-claiming-he-called-for-liz-cheney-to-be-fired-upon,Trump Campaign Responds To 'Fake News' Claiming He Called For ...,"Nov 1, 2024 ... The Trump campaign called out “fake news” reporters on Friday morning after multiple media outlets claimed that former President Donald Trump called for Liz ...",2024-11-01
17,https://www.dailywire.com/news/voting-machine-issues-in-red-pennsylvania-county-result-in-two-hour-extension,Voting Machine Issues In Red Pennsylvania County Result In Two ...,"Nov 5, 2024 ... ... Donald Trump won Cambria with 68% of the vote.“Voters are continuing to vote by paper ballot, in accordance with normal operations, while the county ...",2024-11-05
18,https://www.dailywire.com/news/in-d-c-suburbs-most-of-the-ballot-is-written-in-foreign-languages,"In D.C. Suburbs, Most Of The Ballot Is Written In Foreign Languages","Nov 5, 2024 ... ... Donald Trump's name, for example, appears seven lines of text below the bubble, amidst a sea of foreign characters.Virginia's Republican nominee for Senate ...",2024-11-05
19,https://www.dailywire.com/news/exclusive-seven-undecided-pennsylvania-voters-say-whats-driving-their-decision,EXCLUSIVE: Seven Undecided Pennsylvania Voters Say What's ...,"Nov 1, 2024 ... Polling has consistently shown former President Donald Trump and Vice President Kamala Harris locked in a dead heat in Pennsylvania — and the results of a ...",2024-11-01
20,https://www.dailywire.com/news/walz-in-masters-thesis-said-genocide-education-shouldnt-focus-on-holocaust,Walz Master's Thesis Said Genocide Education Shouldn't Focus On ...,"Nov 2, 2024 ... Walz's running mate, Vice President Kamala Harris, has repeatedly likened former President Donald Trump to Adolf Hitler, a rhetorical barb that some Jews ...",2024-11-02
21,https://www.dailywire.com/news/ben-shapiro-tells-brian-williams-the-identity-politics-era-may-be-coming-to-a-close,Ben Shapiro Tells Brian Williams: 'The Identity Politics Era May Be ...,"Nov 5, 2024 ... Donald Trump; ,; Identity Politics; ,; Kamala Harris. Facebook. X. Mail. Create a free account to join the conversation! Start Commenting. Already have an ...",2024-11-05
1,https://www.dailywire.com/news/george-stephanopoulos-throws-a-fit-after-trump-son-blame-democrats-for-assassination-attempts,"George Stephanopoulos Throws A Fit After Trump, Son Blame ...","Oct 6, 2024 ... ... Donald Trump and one of his sons blamed Democrats for the assassination attempts on the former president.Stephanopoulos had the meltdown during an interview ...",2024-10-06
2,https://www.dailywire.com/news/lana-del-rey-marries-alligator-tour-guide-fans-freak-out-that-he-might-support-trump,Lana Del Rey Marries Alligator Tour Guide; Fans Freak Out That He ...,"Oct 1, 2024 ... ... Donald Trump, seemingly based on purported screenshots from Dufrene's social media.“Of all the cute and young ex-boyfriends that we know Lana del Rey over ...",2024-10-01
3,https://www.dailywire.com/news/jd-vance-says-a-catholic-prayer-helped-him-with-pre-debate-nerves,JD Vance Says A Catholic Prayer Helped Him With Pre-Debate ...,"Oct 2, 2024 ... ... Donald Trump shared the prayer to Saint Michael the Archangel on the saint's feast day. Pope Leo XIII wrote the prayer in the 1800s as a recourse for ...",2024-10-02
4,https://www.dailywire.com/news/lara-trump-more-than-100000-attended-trump-rally-in-butler,"Lara Trump: More Than 100,000 Attended Trump Rally In Butler","Oct 6, 2024 ... Republican National Committee co-chair Lara Trump said over the weekend that more than 100000 people attended former President Donald Trump's rally in ...",2024-10-06
5,https://www.dailywire.com/news/exclusive-fck-that-lets-fight-congressman-refused-protection-during-trump-shooting,"EXCLUSIVE: 'F*** That, Let's Fight': Congressman Refused ...","Oct 8, 2024 ... ... Donald Trump. Meuser and Dave McCormick, the Republican nominee for U.S. Senate in Pennsylvania, happened to be standing in the front row of the rally ...",2024-10-08
6,https://www.dailywire.com/news/the-art-of-the-tariff-how-trump-can-help-save-the-middle-class,The Art Of The Tariff: How Trump Can Help Save The Middle Class,"Oct 5, 2024 ... .Donald Trump has promised to impose huge tariffs on Chinese imports and American companies who move their production outside the country – while Kamala ...",2024-10-05
7,https://www.dailywire.com/topic/debates,Debates,"Oct 3, 2024 ... Republican presidential nominee, former U.S. President Donald Trump, debates Democratic presidential nominee, U.S.. 'Too Far Down The Line': Trump Again ...",2024-10-03
8,https://www.dailywire.com/show/election-wire,Election Wire,"Oct 9, 2024 ... Watch Election Wire's live coverage of Donald Trump's rally in Aurora, Colorado, on the road to the White House as the 2024 campaign intensifies. Donald Trump ...",2024-10-09
9,https://www.dailywire.com/news/margaret-brennan-norah-odonnell-slammed-over-debate-bias,"Margaret Brennan, Norah O'Donnell Slammed Over Debate Bias","Oct 2, 2024 ... ... Donald Trump Jr. “Fake News hacks like @NorahODonnell and @margbrennan are the enemy of the people!!!”Of course the Fake News hacks at @CBSNews are only ...",2024-10-02
10,https://www.dailywire.com/news/cnn-pundit-walz-says-hes-too-dumb-to-tell-the-truth-and-legacy-media-is-buying-it,"CNN Pundit: Walz Says He's 'Too Dumb To Tell The Truth,' And ...","Oct 3, 2024 ... ... Donald Trump and dishonesty,” Jennings began, and then quickly switched the shoe to the other foot. “I never hear the same concern about Harris and the lies ...",2024-10-03
11,https://www.dailywire.com/news/influential-pastor-deletes-post-endorsing-kamala-after-hes-slammed-by-conservatives,Influential Pastor Deletes Post Endorsing Kamala After He's ...,"Oct 1, 2024 ... Donald Trump; ,; Elections; ,; Evangelicals; ,; Kamala Harris; ,; Politics. Facebook. X. Mail. Create a free account to join the conversation! Start Commenting.",2024-10-01
