"","url","title","snippet","date"
"1","https://www.breitbart.com/2024-election/2024/10/06/watch-kamala-harris-melts-down-after-teleprompter-malfunctions-at-rally/","WATCH: Kamala Harris Melts Down After Teleprompter Malfunctions ...","Oct 6, 2024 ... Kamala Harris appeared to have no idea what to say when her teleprompter seemingly stopped working during a speech in Michigan.",2024-10-06
"2","https://www.breitbart.com/entertainment/2024/10/02/watch-byron-donalds-stuns-breakfast-club-hosts-when-arguing-kamala-harris-brought-inflation/","Watch: Byron Donalds Shows Proof to 'Breakfast Club' Hosts That ...","Oct 2, 2024 ... Rep. Byron Donalds (R-FL) stunned the hosts of ""The Breakfast Club"" this week when he argued that Vice President Kamala Harris helped cause the massive rise ...",2024-10-02
"3","https://www.breitbart.com/politics/2024/10/02/report-doug-emhoff-paid-80k-hush-money-was-never-prosecuted/","Report: Doug Emhoff Paid $80k 'Hush Money'; Was Never Prosecuted","Oct 2, 2024 ... The nanny lives in New York, where Trump was prosecuted. Emhoff divorced his first wife in 2009 and married Kamala Harris in 2014; she ran for Senate in 2015- ...",2024-10-02
"4","https://www.breitbart.com/tech/2024/10/08/xxx-for-kamala-porn-industry-launches-ads-supporting-harris-campaign/","XXX for Kamala: Porn Industry Launches Ads Supporting Harris ...","Oct 8, 2024 ... ... My Porn"" campaign will run in seven swing states with the hopes of convincing young men to vote for Kamala Harris.",2024-10-08
"5","https://www.breitbart.com/politics/2024/10/01/report-taylor-swift-loses-2-million-spotify-listeners-after-kamala-harris-endorsement/","Report: Taylor Swift Loses 2 Million Spotify Listeners After Kamala ...","Oct 1, 2024 ... Taylor Swift's endorsement of Kamala Harris is shaping up to be a costly move for the pop superstar.",2024-10-01
"6","https://www.breitbart.com/2nd-amendment/2024/10/09/kamala-harris-says-she-has-glock-many-glocks-are-barred-california/","Kamala Harris Says She Has a Glock, but CA Bars Some Glocks by ...","Oct 9, 2024 ... Kamala Harris said she owns a Glock, but did not mention residents in her home state of California cannot own newer generation Glocks because of a law she ...",2024-10-09
"7","https://www.breitbart.com/entertainment/2024/10/09/howard-stern-terrified-of-trump-win-asks-kamala-harris-if-she-would-leave-america/","Howard Stern Asks Kamala Harris If She Would Leave America if ...","Oct 9, 2024 ... Radio host Howard Stern feels such creeping terror of a possible Donald Trump win this November that he asked Vice President Kamala Harris if she would flee ...",2024-10-09
"8","https://www.breitbart.com/2024-election/2024/10/08/illiterate-harris-mocked-as-dumbest-candidate-after-60-minutes-train-wreck-interview/","'Illiterate' Harris Mocked as 'Dumbest Candidate' After 60 Minutes ...","Oct 8, 2024 ... Political pundits mercilessly mocked Vice President Kamala Harris's performance during a 60 Minutes interview Monday after she delivered false, incoherent, and ...",2024-10-08
"9","https://www.breitbart.com/politics/2024/10/05/poll-voters-more-confident-trump-will-win-over-harris-in-november/","Poll: Voters More Confident Trump Will Win over Harris in November","Oct 5, 2024 ... Likely voters are slightly more confident that former President Donald Trump will emerge as the victor over Vice President Kamala Harris.",2024-10-05
"10","https://www.breitbart.com/tag/media/","media Articles - Breitbart","Oct 4, 2024 ... WASHINGTON, DC - JULY 12: U.S. Vice President Kamala Harris speaks during a meeting. JD Vance: The Media Lies to Hide Kamala Harris's Role as 'Border Czar'.",2024-10-04
