"","url","title","snippet","date"
"1","https://www.dailywire.com/news/here-are-the-things-kamala-has-supported-in-the-past-but-wont-say-if-she-supports-now","Here Are The Things Kamala Has Supported In The Past But Won't ...","Nov 4, 2024 ... Vice President Kamala Harris entered the presidential race late and seemingly hoped to avoid scrutiny of her past positions.Without publicly disavowing her ...",2024-11-04
"2","https://www.dailywire.com/news/the-faithful-should-fear-a-kamala-presidency","The Faithful Should Fear A Kamala Presidency","Nov 3, 2024 ... ... Kamala Harris has already promised — she's no friend of the faithful. Quite the contrary. In the final weeks of the campaign she's reminding us, elect her ...",2024-11-03
"3","https://www.dailywire.com/news/president-biden-wont-attend-kamalas-election-night-watch-party","President Biden Won't Attend Kamala's Election Night Watch Party","Nov 5, 2024 ... President Joe Biden will not attend the election night watch party of his vice president and current Democrat nominee, Kamala Harris.Biden will be watching ...",2024-11-05
"4","https://www.dailywire.com/news/my-case-against-kamala","My Case Against Kamala","Nov 5, 2024 ... On Monday, I made a straightforward argument for why Donald Trump deserves to win this election. What I didn't do is explain in depth why Kamala Harris deserves ...",2024-11-05
"5","https://www.dailywire.com/news/fcc-commissioner-kamalas-snl-appearance-a-blatant-effort-to-evade-equal-time-rule","FCC Commissioner: Kamala's SNL Appearance A 'Blatant Effort To ...","Nov 3, 2024 ... A Federal Communications Commission (FCC) official is calling out both NBC and Vice President Kamala Harris for her last-minute appearance on Saturday Night ...",2024-11-03
"6","https://www.dailywire.com/news/you-gave-me-a-panic-attack-voters-react-to-trump-leading-in-new-hampshire-poll-for-the-first-time","'You Gave Me A Panic Attack': Voters React To Trump Leading In ...","Nov 3, 2024 ... New Hampshire voters said they were shocked by a new poll that shows former President Donald Trump has surpassed Vice President Kamala Harris in the state for ...",2024-11-03
"7","https://www.dailywire.com/news/cautiously-optimistic-ben-shapiro-talks-to-megyn-kelly-about-early-election-results","'Cautiously Optimistic': Ben Shapiro Talks To Megyn Kelly About ...","Nov 5, 2024 ... “I've heard some indicators, some rumblings, from people inside some of the campaigns in Pennsylvania that she, Kamala Harris, is not getting the urban turnout ...",2024-11-05
"8","https://www.dailywire.com/topic/jake-tapper","Jake Tapper","Nov 2, 2024 ... Gov. Tim Walz arrives to hear his running Vice President Kamala Harris address supporters at. 'He Made That Decision!' Tim Walz Snaps Over Biden Question. By ...",2024-11-02
"9","https://www.dailywire.com/news/vote-to-keep-god-in-america-harrison-butker-drops-pro-trump-ad-on-election-day","'Vote To Keep God In America': Harrison Butker Drops Pro-Trump Ad ...","Nov 5, 2024 ... ... Kamala Harris and the radical Democrats.” “Kamala Harris has repeatedly rebuked Christians, undermining the values that built our great nation,” the ad said ...",2024-11-05
"10","https://www.dailywire.com/news/ben-shapiro-tells-brian-williams-the-identity-politics-era-may-be-coming-to-a-close","Ben Shapiro Tells Brian Williams: 'The Identity Politics Era May Be ...","Nov 5, 2024 ... They were counting on a very heavy break in the Hispanic vote in favor of Kamala Harris. That doesn't seem to be materializing,” Shapiro said. Advertisement. “ ...",2024-11-05
