"","url","title","snippet","date"
"1","https://www.dailywire.com/news/kamala-endorses-dockworkers-strike-that-union-boss-boasted-would-cripple-the-economy","Kamala Endorses Dockworkers Strike That Union Boss Boasted ...","Oct 2, 2024 ... Vice President Kamala Harris sided Wednesday with dockworkers who launched a massive strike this week that threatens to cripple the economy.",2024-10-02
"2","https://www.dailywire.com/news/influential-pastor-deletes-post-endorsing-kamala-after-hes-slammed-by-conservatives","Influential Pastor Deletes Post Endorsing Kamala After He's ...","Oct 1, 2024 ... Pastor and Christian author Ray Ortlund deleted a social media post on Monday where he said that he would be voting for Vice President Kamala Harris, ...",2024-10-01
"3","https://www.dailywire.com/news/kamalas-husband-doug-emhoff-slammed-over-accusations-he-hit-ex-girlfriend-in-face","'Woman-Beater': Kamala's Husband Doug Emhoff Slammed Over ...","Oct 2, 2024 ... Doug Emhoff, husband of Vice President Kamala Harris, faced backlash online Wednesday afternoon after an explosive report was published in a British newspaper.",2024-10-02
"4","https://www.dailywire.com/news/as-appalachian-americans-die-in-floods-biden-harris-prioritizes-equity","As Appalachian Americans Die In Floods, Biden-Harris Prioritizes ...","Oct 1, 2024 ... ... Kamala Harris just did. He also wasn't on the record saying that disaster relief should be distributed based on “equity.” Here's Kamala Harris on that point:.",2024-10-01
"5","https://www.dailywire.com/topic/debates","Debates","Oct 3, 2024 ... MADISON, WISCONSIN - SEPTEMBER 20: Democratic presidential nominee Vice President Kamala Harris speaks at. Harris Desperate To Schedule Second Debate After ...",2024-10-03
"6","https://www.dailywire.com/news/the-art-of-the-tariff-how-trump-can-help-save-the-middle-class","The Art Of The Tariff: How Trump Can Help Save The Middle Class","Oct 5, 2024 ... ... promised to impose huge tariffs on Chinese imports and American companies who move their production outside the country – while Kamala Harris has ...",2024-10-05
"7","https://www.dailywire.com/news/auditors-found-18-of-longshoremens-union-hires-had-mob-ties-the-union-had-the-auditor-shut-down","Auditors Found 18% Of Longshoremen's Union Hires Had Mob Ties ...","Oct 4, 2024 ... ... Kamala Harris sided with the union, putting a quick “tentative” end to a strike — at least until after the election. Advertisement. General Foreman Paul Moe ...",2024-10-04
"8","https://www.dailywire.com/news/ben-shapiros-interview-with-former-president-donald-trump-full-transcript","Ben Shapiro's Interview With Former President Donald Trump: Full ...","Oct 8, 2024 ... President, Kamala Harris has now been putting pressure on Ron DeSantis for some reason. She seems to want to both suggest that she's in charge of hurricane ...",2024-10-08
"9","https://www.dailywire.com/news/vance-destroys-walz-iran-launches-on-israel","Vance Destroys Walz, Iran Launches On Israel","Oct 2, 2024 ... His mission was to create a palatable method for swing voters to look at the Trump-Vance ticket and not see chaos. There's a reason that Kamala Harris and Tim ...",2024-10-02
"10","https://www.dailywire.com/show/election-wire","Election Wire","Oct 9, 2024 ... Watch live as Donald Trump takes the stage in Tucson, Arizona, for his first rally since the fiery presidential debate with Kamala Harris. Don't miss this ...",2024-10-09
"11","https://www.dailywire.com/news/how-dirty-union-greed-is-holding-the-american-people-hostage","How Dirty Union Greed Is Holding The American People Hostage","Oct 2, 2024 ... Even Kamala Harris knows it. It's why she had to duck the first question of the presidential debate, when she was asked whether Americans are better off now ...",2024-10-02
