"url","title","snippet"
"https://www.dailywire.com/news/media-denies-that-kamala-harris-was-bidens-border-czar-amid-unprecedented-illegal-immigration","Media Denies That Kamala Harris Was Biden's Border Czar Amid ...","Jul 24, 2024 ... Members of the media are trying to create distance between Vice President and presumptive Democrat nominee Kamala Harris and the unprecedented illegal ..."
"https://www.dailywire.com/news/as-a-prosecutor-kamala-harris-refused-to-seek-the-death-penalty-for-a-gang-member-who-murdered-a-cop","As A Prosecutor, Kamala Harris Refused To Seek The Death ...","Aug 2, 2024 ... When Kamala Harris was running to be San Francisco's district attorney, she said she would never pursue the death penalty. But then a case came before her that ..."
"https://www.dailywire.com/news/i-worked-at-planned-parenthood-for-17-years-heres-why-i-am-saying-no-to-kamala","I Worked At Planned Parenthood For 17 Years. Here's Why I Am ...","Aug 28, 2024 ... Today, as Vice President Kamala Harris seeks to win the White House, I hope my story serves as a warning that Harris' laundry list of incompetency and injustice ..."
"https://www.dailywire.com/news/the-kamala-harris-stock-market-crash","The Kamala Harris Stock Market Crash","Aug 5, 2024 ... There will come a point when Kamala Harris has to answer a serious question. Democrats are hoping that doesn't happen until after the election."
"https://www.dailywire.com/news/flashback-kamala-harris-campaign-against-truancy-got-the-mother-of-a-child-with-sickle-cell-anemia-arrested-for-school-absences","FLASHBACK: Kamala Harris' Campaign Against Truancy Got The ...","Jul 24, 2024 ... Vice President Kamala Harris' policies as a California prosecutor once resulted in the arrest and public perp walk of a mother whose child suffered from sickle ..."
"https://www.dailywire.com/show/scamala-kamala-harris-unmasked","Scamala","Aug 13, 2024 ... Meet Kamala Harris, the incompetent and unqualified vice president. Ben Shapiro's 3-part series exposes her façade, from her early California politics to the ..."
"https://www.dailywire.com/news/crime-in-philadelphia-isnt-going-anywhere-in-kamala-harris-america","Crime In Philadelphia Isn't Going Anywhere In Kamala Harris' America","Oct 31, 2024 ... ... Kamala Harris Andrew Harnik/Getty Images. A party in North Philadelphia descended into chaos earlier this month when a juvenile boy fired off 50 rounds ..."
"https://www.dailywire.com/news/kamala-wanted-to-give-drug-dealers-three-arrests-before-charging-them-cops-shut-her-down","Kamala Wanted To Give Drug Dealers Three Arrests Before ...","Sep 5, 2024 ... Kamala Harris proposed a program for drug dealers that would have allowed criminals to only be charged for selling narcotics on their third arrest."
"https://www.dailywire.com/news/kamala-a-to-z-from-marxist-influences-to-willie-brown-to-radical-policy","Kamala A To Z: From Marxist Influences, To Willie Brown, To Radical ...","Jul 29, 2024 ... Democrats then swiftly crowned VP Kamala Harris as the nominee, though she did not receive a single vote. So who is Kamala Harris? Background Harris was born in"
"https://www.dailywire.com/news/kamala-running-pro-palestinian-ads-in-michigan-pro-israel-ads-in-pennsylvania","Kamala Running Pro-Palestinian Ads In Michigan, Pro-Israel Ads In ...","Nov 4, 2024 ... Vice President Kamala Harris' campaign is running two sets of ads on the Israel-Gaza conflict – and what ad voters see depends on where they live."
"https://www.dailywire.com/news/cpac-scores-show-how-far-left-harris-vp-contenders-are","Kamala Harris Had A Shortlist of Far-Left VP Candidates. She ...","Aug 5, 2024 ... After Kamala Harris became the presumptive Democratic nominee for president, a left-leaning group that ranks senators by ideology memory-holed its finding ..."
"https://www.dailywire.com/news/how-kamalas-kids-in-cages-lie-paved-the-way-for-a-child-trafficking-crisis","How Kamala's 'Kids In Cages' Lie Paved The Way For A Child ...","Oct 23, 2024 ... In the waning days of the campaign, Vice President Kamala Harris is trotting out an old talking point: that former President Donald Trump “separates” ..."
"https://www.dailywire.com/news/kamalas-wins-viral-source-of-pro-kamala-misinformation-was-launched-by-biden-admin-employee","Viral Account Pushing Pro-Kamala Misinformation Was Launched ...","Oct 15, 2024 ... When Kamala Harris took Joe Biden's spot at the top of the Democratic presidential ticket, she also replaced him as the focus of Democrats' favorite X ..."
"https://www.dailywire.com/news/before-kamala-harris-copied-trumps-pledge-to-scrap-the-tip-tax-biden-harris-admin-moved-to-enforce-tip-taxation","Before Kamala Stole Trump's 'No Tax On Tips' Proposal, She ...","Aug 11, 2024 ... The Biden administration announced a new program to “improve tip reporting compliance” to the IRS more than a year before Vice President Kamala Harris' ..."
"https://www.dailywire.com/news/kamala-harris-top-7-lies-during-the-debate","Kamala Harris' Top 7 Lies During The Debate","Sep 11, 2024 ... Both former President Donald Trump and Vice President Kamala Harris made a series of false statements during their first debate against each other this week ..."
