"url","title","snippet"
"https://www.dailywire.com/news/donald-trump-defeats-kamala-harris-wins-back-the-white-house","Donald Trump Defeats Kamala Harris, Wins Back The White House","Nov 5, 2024 ... Donald Trump Defeats Kamala Harris, Wins Back The White House ... WEST PALM BEACH—Former President Donald Trump won the 2024 election, Decision Desk HQ predicts, ..."
"https://www.dailywire.com/news/flashback-kamala-harris-campaign-against-truancy-got-the-mother-of-a-child-with-sickle-cell-anemia-arrested-for-school-absences","FLASHBACK: Kamala Harris' Campaign Against Truancy Got The ...","Jul 24, 2024 ... Vice President Kamala Harris' policies as a California prosecutor once resulted in the arrest and public perp walk of a mother whose child suffered from sickle ..."
"https://www.dailywire.com/news/i-worked-at-planned-parenthood-for-17-years-heres-why-i-am-saying-no-to-kamala","I Worked At Planned Parenthood For 17 Years. Here's Why I Am ...","Aug 28, 2024 ... Today, as Vice President Kamala Harris seeks to win the White House, I hope my story serves as a warning that Harris' laundry list of incompetency and injustice ..."
"https://www.dailywire.com/news/kamala-hq-attacked-me-for-telling-the-truth-about-public-education","Kamala HQ Attacked Me For Telling The Truth About Public Education","Sep 25, 2024 ... the “Kamala HQ” account — the official account of the Kamala Harris campaign — posted a message in response to a segment from my show yesterday ..."
"https://www.dailywire.com/news/border-patrol-agents-warn-of-mass-resignations-if-kamala-harris-wins","Border Patrol Agents Warn Of Mass Resignations If Kamala Harris ...","Oct 17, 2024 ... Border Patrol agents are threatening to leave their jobs and warning of a mass exodus from the law enforcement agency if Vice President Kamala Harris wins ..."
"https://www.dailywire.com/news/crime-in-philadelphia-isnt-going-anywhere-in-kamala-harris-america","Crime In Philadelphia Isn't Going Anywhere In Kamala Harris' America","Oct 31, 2024 ... ... Kamala Harris Andrew Harnik/Getty Images. A party in North Philadelphia descended into chaos earlier this month when a juvenile boy fired off 50 rounds ..."
"https://www.dailywire.com/news/kamala-harris-unserious-campaign","Kamala Harris' Unserious Campaign","Oct 22, 2024 ... Kamala Harris has suggested Donald Trump is unserious. She stated on Monday that Donald Trump is fundamentally an unserious candidate."
"https://www.dailywire.com/news/the-kamala-harris-stock-market-crash","The Kamala Harris Stock Market Crash","Aug 5, 2024 ... There will come a point when Kamala Harris has to answer a serious question. Democrats are hoping that doesn't happen until after the election."
"https://www.dailywire.com/news/kamala-wanted-to-give-drug-dealers-three-arrests-before-charging-them-cops-shut-her-down","Kamala Wanted To Give Drug Dealers Three Arrests Before ...","Sep 5, 2024 ... Kamala Harris proposed a program for drug dealers that would have allowed criminals to only be charged for selling narcotics on their third arrest."
"https://www.dailywire.com/news/kamala-running-pro-palestinian-ads-in-michigan-pro-israel-ads-in-pennsylvania","Kamala Running Pro-Palestinian Ads In Michigan, Pro-Israel Ads In ...","Nov 4, 2024 ... Vice President Kamala Harris' campaign is running two sets of ads on the Israel-Gaza conflict – and what ad voters see depends on where they live."
