Word ,Source
Aggravate,Strunk
Allude,Strunk
Allusion,Strunk
Alternate,Strunk
Alternative,Strunk
Anticipate,Strunk
Anybody,Strunk
Anyone,Strunk
Care less,Strunk
Case,Strunk
Certainly,Strunk
Character,Strunk
Crazy,NBCU
Deranged,NBCU
Druggie,NBCU
Enormity,Strunk
Enthuse,Strunk
Erratic,NBCU
Extremist,ChatGPT
Facility,Strunk
Fact,Strunk
Factor,Strunk
Fanatic,ChatGPT
Feature,Strunk
Flood,LatinoReporter
Fortuitous,Strunk
Freak,NBCU
Hate,ChatGPT
Hopefully,Strunk
Idiot,NBCU
Illegal,ChatGPT
Insightful,Strunk
Junkie,NBCU
Literally,Strunk
Lunatic,ChatGPT
Mad,NBCU
Manic,NBCU
Nuts,NBCU
Offputting,Strunk
Ongoing,Strunk
Presently,Strunk
Prestigious,Strunk
Psychopathic,NBCU
Radical,ChatGPT
Regretful,Strunk
Retarded,NBCU
Savage,ChatGPT
Schizo,NBCU
Stupid,NBCU
Surge,LatinoReporter
Terrorist,ChatGPT
The fact is,Strunk
The foreseeable future,Strunk
The truth is,Strunk
Transpire,Strunk
Unhinged,NBCU
Wave,LatinoReporter
Marxist,ChatGPT
Socialist,ChatGPT
Deep State,ChatGPT
Woke,ChatGPT
Cancel,ChatGPT
Tyranny,ChatGPT
Indoctrination,ChatGPT
Ideology,ChatGPT
Agenda,ChatGPT
Fake News,ChatGPT
Propaganda,ChatGPT
Fraud,ChatGPT
Grab,ChatGPT
Swamp,ChatGPT
